,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
62,2020-05-25,Iphone xr,1265029033286176768,marywillhite16,Mary Willhite,FlexGear Clear Case for iPhone XR and 2 Glass Screen Protectors (Clear) https://t.co/9iY5zTLGER https://t.co/spDNniuWqA,0,0,0,False
63,2020-05-25,Iphone xr,1265028881771364352,elliehby,ellie,@AppleSupport I have an Iphone XR it was saying my storage is full - I went to delete photos and apps and they didn… https://t.co/FXHtFTO7JP,0,0,0,False
64,2020-05-25,Iphone xr,1265028647150333952,whitestonedome,Whitestone Dome,"🔥 iPhone SE + Apple Watch Dome Glass 🔥

Get the best quality protection for both your phone and your watch!… https://t.co/MxL4gtJ3GP",0,0,0,False
65,2020-05-25,Iphone xr,1265025446481182727,akujipatel,Rashesh Patel,"Automobile Cellphone Holder , Mpow Windscreen Automobile Mount Grip Flex Common Lengthy Arm Windshield Automobile C… https://t.co/LTsmS2UVqn",0,0,0,False
66,2020-05-25,Iphone xr,1265025042590633985,techwear_uk,TechWear UK,Looking for a steal? Clear Transparent Silicone Phone Case Cover For iPhone X XS XR XS Max 8 7 6... is now selling… https://t.co/6cxJol3aVF,0,0,0,False
67,2020-05-25,Iphone xr,1265024938882355200,LARADistributer,LARA Distributor,🤯 You won’t believe this! Automatic Wireless Car Charger For iPhone XS XR X 8 Samsung S10 S9 S8 selling at $18.16 U… https://t.co/B6skaJwyFC,0,0,0,False
68,2020-05-25,Iphone xr,1265024248487215104,sozdrol,v. Aries ♈️,iPhone xr and 6 for sell,0,0,0,False
69,2020-05-25,Iphone xr,1265023962100101121,connieamos37,Connie Amos,Magnetic Phone Car Mount- FlePow Universal 360° Rotation Magnetic Dashboard Cell Phone Holder for Car Compatible wi… https://t.co/wTmOgWOip2,0,0,0,False
70,2020-05-25,Iphone xr,1265023808647262208,mistyclaros62,Misty Claros,Bike Phone Mount for any Smart Phone: iPhone 11 PRO Max XS XR X 8 7 6 5 Plus Samsung Galaxy S20 S10 S9 S8 S7 S6 S5… https://t.co/mZivtNJ2QQ,0,0,0,False
71,2020-05-25,Iphone xr,1265022929311580160,SDeal4u,SmartDeal4u,#hashtag4 Luxury Shock-proof Case For iPhone XS Max X 10 XR iPhone 6s 6 6Plus 6SPlus iPhone 7 8 7Plus 8Plus HD Clea… https://t.co/T4IhKb6MJf,0,0,0,False
72,2020-05-25,Iphone xr,1265022805407485952,lorinechang35,Lorine Chang,"USB C Charger, Anker 36W 2-Port PIQ 3.0 Type C Wall Charger, PowerPort III Duo, Foldable Plug, Power Delivery for i… https://t.co/K4QUSHCp3x",0,0,0,False
73,2020-05-25,Iphone xr,1265022704941330432,connieamos37,Connie Amos,"Hiearcool Universal Waterproof Case,Waterproof Phone Pouch for iPhone 11 Pro Max XS Max XR X 8 7 6S Plus Samsung Ga… https://t.co/ayZBOaYbY3",0,0,0,False
74,2020-05-25,Iphone xr,1265022700701048838,qtSera,Seraph🌎☄️💕®,@danielbyrnes82 iphone XR. gonna wait for this to crap out before i get the Galaxy s20 :/,0,0,0,False
75,2020-05-25,Iphone xr,1265022699316879360,GrindPushSweat,Jonathan Ozek,"This is for the @AppleSupport. I love running and working out, fitness is my world. I love to do everything with… https://t.co/jHXTnhmCei",0,0,0,False
76,2020-05-25,Iphone xr,1265021241305567235,ichitaso_bot,ichitaso bot,[SETUP] iPhone XR with iOS 13.5 (iOS 14 Concept by me) https://t.co/AHtoLspZfM https://t.co/ad7agvff0G,0,0,0,False
77,2020-05-25,Iphone xr,1265021081108090880,marygleason49,Mary Gleason,OtterBox Defender Series Screenless Edition Case for iPhone Xr - Retail Packaging - Black https://t.co/mtPiBVMhN8 https://t.co/yrgP2Owk2I,0,0,0,False
78,2020-05-25,Iphone xr,1265021012518690816,wonniebby,𝐥𝐞𝐯𝐢.＾＾,"so,,, 
KH WH - iphone 11 max pro
CK JH SN - iphone 11 pro
MH - iphone 11
HW - iphone 11 pro/ max (?) or is he still using iphone XR ?",0,0,0,False
79,2020-05-25,Iphone xr,1265020845388369921,NGamiotea,buyandfast,#hashtag2 3.1A Mini USB Car Charger For iPhone XR 8 7 Fast Car Phone Chargers Fast Charging With LED Display Dual U… https://t.co/qYGyPXVgpS,0,0,0,False
80,2020-05-25,Iphone xr,1265020349734768640,zellalamm40,Zella Lamm,PLmuzsz MFi Certified iPhone Charger Lightning Cable 5 Pack High Speed Nylon Braided USB Fast Charging&amp;Data Syncs C… https://t.co/zGDKHhwBJi,0,0,0,False
81,2020-05-25,Iphone xr,1265019297304399873,_lyriadanielle,L BOOG🧡,"soon as the new iPhone come out and im gettin it, can’t take this XR anymore😭",0,0,0,False
82,2020-05-25,Iphone xr,1265019034921324544,bigkuntry2307,that viking guy,@senexy27 iPhone 11 64 gb camera slightly better than my old xr,0,0,0,False
83,2020-05-25,Iphone xr,1265017286936735745,NEONHOMETOWN,emilie 🦕,i fr had an iphone 5s AN IPHONE 5S OK and i currently have a 6s right and i’m upgrading to an xr 🤩 upgrade of the fucking century,1,0,0,False
84,2020-05-25,Iphone xr,1265016994547535872,TweedJL,TweedJL,"@Kijiji the kijiji app keeps crashing on iOS latest version on my iPhone XR. Reboots, reinstalls, no luck. Started… https://t.co/cJuNsFcsWv",0,0,0,False
85,2020-05-25,Iphone xr,1265016449757671424,marywillhite16,Mary Willhite,iPhone Charger ALIWIKI Lightning Cable 3pack 6ft Extra Long Nylon Braided Syncing and Fast Charging Cord USB Cable… https://t.co/LC6sXbTzWp,0,0,0,False
86,2020-05-25,Iphone xr,1265015649581088769,AliKemalCesmeci,🅂🅃🄰🅈🄰🅃🄷🄾🄼🄴,"LISEN (6ft / 1.88m) iPhone Charger Cable, [ Apple MFi Certified ] [ Never Rupture ] Lightning to USB A Cable, 2.4A… https://t.co/nSmHgInMGq",0,0,0,False
